"","stfid","sumlevel","st_fips","cnty_fips","cnty_sub_fips","tract_fips","block_group","cong_dist","sch_dist_sec","sch_dist_ele","drive0913","drive0913_moe"
"253","5501514475","060","55","15","14475",NA,NA,NA,NA,NA,0.930900243309002,0.0695125385602398
"254","5501514500","060","55","15","14500",NA,NA,NA,NA,NA,0.820851688693098,0.0970398991667667
"255","5501532800","060","55","15","32800",NA,NA,NA,NA,NA,0.946399857066285,0.0491686125708634
"256","5501534575","060","55","15","34575",NA,NA,NA,NA,NA,0.962068965517241,0.0585312667385873
"257","5501538800","060","55","15","38800",NA,NA,NA,NA,NA,NA,NA
"258","5501539525","060","55","15","39525",NA,NA,NA,NA,NA,1,0.0661764705882354
"259","5501550825","060","55","15","50825",NA,NA,NA,NA,NA,0.972636815920398,0.137687337019462
"260","5501556800","060","55","15","56800",NA,NA,NA,NA,NA,0.932871972318339,0.0787744314299915
"261","5501556825","060","55","15","56825",NA,NA,NA,NA,NA,0.916075650118203,0.0684575426201352
"262","5501564675","060","55","15","64675",NA,NA,NA,NA,NA,0.876923076923077,0.0488950776248982
"263","5501566275","060","55","15","66275",NA,NA,NA,NA,NA,0.900462962962963,0.0466052161942039
"264","5501573525","060","55","15","73525",NA,NA,NA,NA,NA,0.901162790697674,0.0582565470279073
"265","5501577400","060","55","15","77400",NA,NA,NA,NA,NA,0.903141361256545,0.0833565673284158
"266","5501577425","060","55","15","77425",NA,NA,NA,NA,NA,0.924812030075188,0.0405882934213327
"267","5501589000","060","55","15","89000",NA,NA,NA,NA,NA,0.876288659793814,0.0351774077193692
"268","5501702175","060","55","17","02175",NA,NA,NA,NA,NA,0.897700237906424,0.0531326312971525
"269","5501703075","060","55","17","03075",NA,NA,NA,NA,NA,0.866141732283465,0.123779601639132
"270","5501703725","060","55","17","03725",NA,NA,NA,NA,NA,0.854037267080745,0.0423521318216371
"271","5501707525","060","55","17","07525",NA,NA,NA,NA,NA,0.807511737089202,0.218209410106175
"272","5501708225","060","55","17","08225",NA,NA,NA,NA,NA,0.88979336255479,0.0626359701092055
"273","5501708250","060","55","17","08250",NA,NA,NA,NA,NA,0.863636363636364,0.0409189594213338
"274","5501709075","060","55","17","09075",NA,NA,NA,NA,NA,0.907120743034056,0.0610136934496611
"275","5501711750","060","55","17","11750",NA,NA,NA,NA,NA,0.927272727272727,0.0638550973481227
"276","5501714575","060","55","17","14575",NA,NA,NA,NA,NA,0.865917100184595,0.0493103059493444
"277","5501715350","060","55","17","15350",NA,NA,NA,NA,NA,0.897155361050328,0.0240649812730619
"278","5501716125","060","55","17","16125",NA,NA,NA,NA,NA,0.866295264623955,0.0694645980807247
"279","5501716800","060","55","17","16800",NA,NA,NA,NA,NA,0.855855855855856,0.0457559345109841
"280","5501717100","060","55","17","17100",NA,NA,NA,NA,NA,0.911144578313253,0.18871412035019
"281","5501719625","060","55","17","19625",NA,NA,NA,NA,NA,0.8,0.0612208209653185
"282","5501721600","060","55","17","21600",NA,NA,NA,NA,NA,0.932871972318339,0.053174325012156
"283","5501722300","060","55","17","22300",NA,NA,NA,NA,NA,0.844515441959531,0.0540319359629827
"284","5501722750","060","55","17","22750",NA,NA,NA,NA,NA,0.754512635379061,0.154486710508867
"285","5501724375","060","55","17","24375",NA,NA,NA,NA,NA,0.832512315270936,0.269814362371843
"286","5501729700","060","55","17","29700",NA,NA,NA,NA,NA,0.856470588235294,0.00329848333893853
"287","5501732125","060","55","17","32125",NA,NA,NA,NA,NA,0.925373134328358,0.235914735185074
"288","5501736000","060","55","17","36000",NA,NA,NA,NA,NA,0.785714285714286,0.219156723261536
"289","5501740900","060","55","17","40900",NA,NA,NA,NA,NA,0.925407166123778,0.0692782670010897
